tf_minutes,require_bias,tp_r,sl_atr_buffer,trail_atr,spread_gate,min_score,n,wr,pf,exp,total_r
15,False,1.5,1.0,0.0,0.2,70,565,40.0,0.8592994250462355,-0.08588382239117573,-48.52435965101429
15,False,1.5,1.0,0.0,0.45,0,2605,38.54126679462572,0.7856220434813193,-0.1389928979538892,-362.07649916988134
15,False,1.5,1.0,0.0,0.45,60,1891,39.13273400317293,0.8036348640298698,-0.12497591008543883,-236.32944597156484
15,False,1.5,1.0,0.0,0.45,70,1072,37.593283582089555,0.7618443148932589,-0.1537674551785805,-164.8387119514383
15,False,1.5,1.0,1.5,0.2,0,1150,48.78260869565217,0.8459332904021936,-0.0801974605981447,-92.22707968786641
15,False,1.5,1.0,1.5,0.2,60,952,47.89915966386555,0.803920137387645,-0.10431120271344328,-99.30426498319801
15,False,1.5,1.0,1.5,0.2,70,569,46.22144112478031,0.7489757880249439,-0.13796951157672135,-78.50465208715445
15,False,1.5,1.0,1.5,0.45,0,2623,45.74914220358368,0.7206909053719877,-0.16025832921485028,-420.35759753055225
15,False,1.5,1.0,1.5,0.45,60,1907,46.51284740429995,0.7385787016406375,-0.1472904664452935,-280.8829195111747
15,False,1.5,1.0,1.5,0.45,70,1081,45.328399629972246,0.6960128349618215,-0.17342020844533684,-187.46724532940914
15,False,2.0,0.5,0.0,0.2,0,1150,33.65217391304348,0.8436831197107142,-0.10991551445726729,-126.40284162585738
15,False,2.0,0.5,0.0,0.2,60,952,32.668067226890756,0.8088300410145797,-0.135797264794049,-129.27899608393463
15,False,2.0,0.5,0.0,0.2,70,568,33.098591549295776,0.8360330021156226,-0.11584560168209394,-65.80030175542936
15,False,2.0,0.5,0.0,0.45,0,2634,31.207289293849662,0.7307323628567467,-0.20282166899095094,-534.2322761221648
15,False,2.0,0.5,0.0,0.45,60,1922,31.685744016649327,0.7514292896991097,-0.18416227244451885,-353.9598876383652
15,False,2.0,0.5,0.0,0.45,70,1090,31.10091743119266,0.7436739972542317,-0.1901412155041608,-207.25392489953526
15,False,2.0,0.5,1.5,0.2,0,1161,43.84151593453919,0.7553565351552449,-0.13852417452336654,-160.82656662162856
15,False,2.0,0.5,1.5,0.2,60,962,43.03534303534304,0.7211864214331579,-0.15918703601354423,-153.13792864502955
15,False,2.0,0.5,1.5,0.2,70,573,43.280977312390924,0.7292266626971158,-0.1533983677723641,-87.89726473356463
