tp_r,tp1_frac,breakeven_after_tp1,sl_atr_buffer,retr_frac,min_score,n,wr,pf,exp
1.25,0.0,False,1.1,0.62,75,65,41.53846153846154,0.7858950733177975,-0.12386186590708927
1.5,0.0,False,0.8,0.5,0,231,41.125541125541126,0.875098348131955,-0.07610551831657728
1.5,0.0,False,0.8,0.5,60,223,41.25560538116592,0.8786126754834067,-0.07364068061428176
1.5,0.0,False,0.8,0.5,65,200,42.0,0.9288065160813984,-0.04222241843867916
1.5,0.0,False,0.8,0.5,70,153,44.44444444444444,1.0376204597177434,0.02089523632390326
1.5,0.0,False,0.8,0.5,75,84,38.095238095238095,0.8252096375194061,-0.10651093123604276
1.5,0.0,False,0.8,0.62,0,182,37.91208791208791,0.7593751253543437,-0.15868700227353003
1.5,0.0,False,0.8,0.62,60,174,37.93103448275862,0.7595268777880627,-0.15806742948790498
1.5,0.0,False,0.8,0.62,65,155,39.35483870967742,0.8073439016904306,-0.12261528183626913
1.5,0.0,False,0.8,0.62,70,119,42.016806722689076,0.9280954181360681,-0.04280213439087303
1.5,0.0,False,0.8,0.62,75,67,35.82089552238806,0.6802232086710238,-0.21140565258121738
1.5,0.0,False,0.5,0.5,0,227,41.85022026431718,0.9161729696668425,-0.05199721982023871
1.5,0.0,False,0.5,0.5,60,217,41.935483870967744,0.9198333167486474,-0.04952514401543243
1.5,0.0,False,0.5,0.5,65,195,43.07692307692308,0.9884377784263625,-0.006950152170597626
1.5,0.0,False,0.5,0.5,70,151,45.6953642384106,1.1166326144717664,0.06599600807024014
1.5,0.0,False,0.5,0.5,75,81,35.80246913580247,0.746715366032873,-0.170957837281248
1.5,0.0,False,0.5,0.62,0,169,38.46153846153847,0.8139058516360322,-0.12480787563775883
